topic,angle,audience,tone,duration_target_seconds,preset,language,status
The Power of Consistency,daily micro-wins add up to massive results,young professionals,direct,40,shorts_productivity_v1,english,pending
Why Motivation Is Overrated,systems beat feelings every time,ambitious learners,contrarian,40,shorts_productivity_v1,english,pending
How to Focus in a Distracted World,single-tasking and environment design,knowledge workers,practical,40,shorts_productivity_v1,english,pending
Small Habits That Compound Over Time,atomic changes accumulate over months,productivity beginners,encouraging,40,shorts_productivity_v1,english,pending
How AI Can Help You Work Smarter,augmenting thinking not replacing it,tech-savvy professionals,forward-looking,40,shorts_ai_work_v1,english,pending
Why Most People Never Finish What They Start,activation energy and the planning fallacy,goal-setters,honest,40,shorts_productivity_v1,english,pending
The Hidden Cost of Multitasking,context-switching destroys deep focus,busy professionals,eye-opening,40,shorts_productivity_v1,english,pending
How to Build Deep Work Habits Without Burnout,sustainable focus routines that actually stick,remote workers,balanced,40,shorts_productivity_v1,english,pending
The One Question That Fixes Any Blocked Decision,clarity comes from better questions not more data,decision-fatigued professionals,direct,40,shorts_productivity_v1,english,pending
Why Your Morning Routine Is Making You Less Productive,rigid rituals cause decision fatigue before noon,productivity optimizers,contrarian,40,shorts_productivity_v1,english,pending
